user_text,user_id,wikiproject,cos_sim,pos
Jonathankwanhc,17597386,united states,0.24296076725390839,4
Carolyn.monaco,12542822,united states,0.24263324286291993,5
LuLuDrops,21687715,united states,0.24052114104143002,6
Bibliomachus,23633453,united states,0.23938396370230591,7
Tab1975,23862930,united states,0.23903014248089582,8
Tangotopaz,23965472,united states,0.23871988073586736,9
MFCMFC,12460900,united states,0.23755299925478246,10
AlexMota300,23416893,united states,0.23558433231667877,11
Jacky Chi Wo Kwong,23127411,united states,0.229405231391495,12
Humanrights4nz,14800183,united states,0.2279676743982004,13
Nblund,20887371,united states,0.22671336783924273,14
Chase1493,15188920,united states,0.22670130676189293,15
Vegamala,21117047,united states,0.22669497663084334,16
Coal town guy,16555343,united states,0.22637901207715794,17
Olickal Peter Thomas,25082014,united states,0.22563613852787748,18
Imachrischan,24042586,united states,0.22440327135706789,19
Chillin662,10191654,united states,0.22406490194290893,20
Aliciastockley,25017835,video games,0.20251212676722469,1
81belle,17622279,video games,0.20251212676722469,2
Elitre (WPS),21242558,video games,0.19846563659176278,3
Daamoy,23683077,video games,0.19441914641630087,4
Cheri Brown,17329824,video games,0.19028959619135472,5
Info.wpd,21342695,video games,0.18943533405216334,6
Queenwe,16417705,video games,0.1872475551918483,7
F&ME01,5892443,video games,0.18387385601208517,8
Teranteran,16609669,video games,0.18214124247410804,9
Smellcheck,24286561,video games,0.18086102294449818,10
Anotha1,19622211,video games,0.18040419393223303,11
Krissjody,22094426,video games,0.180350689300693,12
Abhajaiprakash,15700009,video games,0.17967142458221133,13
Akshay Kumar Wiki,22864088,video games,0.17857883340198386,14
Sherya ghosal,20493706,video games,0.17837929053172041,15
Humanrights4nz,14800183,video games,0.17815464180756416,16
JanPodany,21044648,video games,0.178099028761662,17
Abrahamic Faiths,18381293,video games,0.17713383935075533,18
Tila13,23604162,video games,0.17551944289181864,19
PGCX864,23583570,video games,0.17526040893372014,20
